Data;Exportações - soja em grão - quantidade - Tonelada - Outras fontes, inclusive compilação de vários autores - HIST_XSOJAQ;
1949;18704;
1950;21236;
1951;39675;
1952;28941;
1953;26117;
1954;25344;
1955;51390;
1956;41483;
1957;17399;
1958;33914;
1959;42070;
1960;;
1961;73267;
1962;96771;
1963;33449;
1964;;
1965;75286;
1966;121241;
1967;304543;
1968;65859;
1969;310147;
1970;289623;
1971;213426;
1972;1037273;
1973;1786139;
1974;2730426;
1975;3333334;
1976;3639497;
1977;2586866;
1978;658527;
1979;638466;
1980;1548883;
1981;1449731;
1982;500804;
1983;1295095;
1984;1561110;
1985;3491476;
1986;1197741;
1987;3023651;
1988;2597364;
1989;4618003;
1990;4077286;
1991;2020437;
1992;3735979;
1993;4209212;
1994;5403588;
1995;3492525;
1996;3646933;
1997;7787661,477;
1998;9189575,718;
1999;8792437,058;
2000;11506575,371;
2001;15655792,478;
2002;15951443,439;
2003;19864280,394;
2004;19167231,151;
2005;22291223,683;
2006;24879323,585;
2007;23653129,02;
2008;24492587,084;
2009;28547864,603;
2010;29064450,853;
2011;32963106,502;
2012;32899803,537;
2013;42792703,107;
2014;45688848,407;
2015;54322601,462;
2016;51577465,44;
2017;68147704,878;
2018;83246812,093;
2019;74063633,475;
2020;82968242,023;
2021;86100403,79;
2022;78726374,134;
